Start Date,Class,Hedge Type,Time Of Use,Number Of Hours,Bid MW,Bid Price,Bid MWHs,Bid MWHs Bid Price,Awarded Mw,Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Clear Price,Weighted Avg Bid Price,Auction,Market ID
12/01/2019,BUY,OBL,Off-peak,330832,19690.4,-12331.69,4883219.2,-11226610.32,5578.5,880.0,1383468.0,595089.43,0.43,-2.3,2019.2nd6.AnnualAuction.Seq2,5073
10/01/2019,BUY,OPT,Off-peak,1236737,51979.1,4614.01,15238256.5,6357975.75,3929.6,8635.08,1132585.1,924374.42,0.82,0.42,2019.2nd6.AnnualAuction.Seq2,5073
10/01/2019,BUY,OPT,PeakWE,907648,69454.9,3509.08,10559187.2,3676342.91,6295.9,9325.26,1031923.2,613852.5,0.59,0.35,2019.2nd6.AnnualAuction.Seq2,5073
09/01/2019,BUY,OPT,PeakWE,2695808,99907.5,6868.77,28131862.4,9210161.12,6288.8,21167.25,1366291.2,1259685.79,0.92,0.33,2019.2nd6.AnnualAuction.Seq2,5073
09/01/2019,SELL,OPT,PeakWE,140288,4243.1,5019.0,807913.6,4861294.18,1290.8,833.68,208998.4,152373.32,0.73,6.02,2019.2nd6.AnnualAuction.Seq2,5073
11/01/2019,SELL,OBL,PeakWD,93984,1112.8,294.45,401086.4,874663.23,198.8,27.31,79777.6,154600.82,1.94,2.18,2019.2nd6.AnnualAuction.Seq2,5073
11/01/2019,SELL,OBL,PeakWE,51680,841.4,123.68,180240.0,170324.0,118.9,-16.35,24240.0,32094.22,1.32,0.94,2019.2nd6.AnnualAuction.Seq2,5073
08/01/2019,BUY,OBL,Off-peak,319881,20886.2,-57188.77,5181803.6,-21674191.7,5804.3,657.84,1439490.4,583447.46,0.41,-4.18,2019.2nd6.AnnualAuction.Seq2,5073
12/01/2019,BUY,OPT,PeakWD,1924608,105628.8,4165.72,35491276.8,11297974.46,5721.8,10975.28,1922524.8,1679759.57,0.87,0.32,2019.2nd6.AnnualAuction.Seq2,5073
10/01/2019,SELL,OBL,PeakWD,66464,1174.8,199.39,540102.4,1351332.11,140.7,-32.98,55009.6,103728.92,1.89,2.5,2019.2nd6.AnnualAuction.Seq2,5073
08/01/2019,BUY,OBL,PeakWE,188928,22219.8,-11667.53,3206579.2,-3011149.86,8480.2,1290.77,1221772.8,1859069.99,1.52,-0.94,2019.2nd6.AnnualAuction.Seq2,5073
