 Start Date, Class, Hedge Type, Time Of Use, Number Of Hours, Bid MW, Bid Price,Bid MWHs,Bid MWHs Bid Price, Awarded Mw, Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Bid Price,Weighted Avg Clear Price,Auction
7/1/2019,BUY,OBL,Off-peak,1872024,41165.7,-59462.48,26534950.2,-21473392,9317.8,1994.56,5689766.1,4791690.386,0.842159467,-0.80924938,2019_2nd6_Annual_Seq2
7/1/2019,BUY,OBL,PeakWD,3281888,54021.4,-66091.57,43121483.2,-23759962.82,11309.8,5511.84763,7453468.8,9327529.95,1.251434762,-0.551000593,2019_2nd6_Annual_Seq2
7/1/2019,BUY,OBL,PeakWE,1331360,45018.2,-14626.7,17073248,-2402394.4,11209.9,3776.322505,3573465.6,4058352.691,1.135690992,-0.140711035,2019_2nd6_Annual_Seq2
7/1/2019,BUY,OPT,Off-peak,24935076,222176.2,10752.45,236292830.1,38797202.54,20045.3,37641.11083,23260166.1,3710330.325,0.159514352,0.164191197,2019_2nd6_Annual_Seq2
7/1/2019,BUY,OPT,PeakWD,44671152,299806.5,16856.17,373277187.2,111498829.7,18923.3,94438.57526,28874480,10418838.05,0.360832058,0.298702502,2019_2nd6_Annual_Seq2
7/1/2019,BUY,OPT,PeakWE,18303968,262383.7,11839.25,161271252.8,32590315.5,19857.6,60316.37731,13888774.4,2872266.225,0.206804873,0.202083849,2019_2nd6_Annual_Seq2
7/1/2019,SELL,OBL,Off-peak,604559,3101.9,1275.48,3524710.1,10759316.41,310.8,376.204501,282818.6,217991.1521,0.770780819,3.052539388,2019_2nd6_Annual_Seq2
7/1/2019,SELL,OBL,PeakWD,674720,2952.5,1184.27,4228579.2,15403222.08,631.1,-613.39618,664720,1159076.453,1.743706301,3.642647176,2019_2nd6_Annual_Seq2
7/1/2019,SELL,OBL,PeakWE,286688,2750.9,498.05,1778977.6,4063684.368,477.7,-485.346183,302548.8,406693.2738,1.344223721,2.284280796,2019_2nd6_Annual_Seq2
7/1/2019,SELL,OPT,Off-peak,3252294,20471.8,13394.19,24190357.2,29828186.06,3204.4,2138.025151,3694173.5,1703955.345,0.461254823,1.233061001,2019_2nd6_Annual_Seq2
