Start Date,Class,Hedge Type,Number Of Hours,Bid MW,Bid Price,Bid MWHs,Bid MWHs Bid Price,Awarded Mw,Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Clear Price,Weighted Avg Bid Price,Auction,Market ID
01/01/2020,SELL,OBL,682488,9536.1,13951.35,2365504.0,7842148.18,1903.0,3307.65,462844.0,477720.04,1.03,3.32,2020.JAN.Monthly.Auction,5565
01/01/2020,BUY,OBL,15146056,200016.2,-5449742.33,50566059.2,-575971656.33,44659.1,37687.19,11357036.8,5170106.49,0.46,-11.39,2020.JAN.Monthly.Auction,5565
01/01/2020,BUY,OPT,39183440,2433357.4,188161.81,638899382.4,214961003.08,72660.0,1193585.61,17850357.6,16057889.66,0.9,0.34,2020.JAN.Monthly.Auction,5565
01/01/2020,SELL,OPT,6667336,111455.6,140454.66,27734599.2,74202174.62,26678.3,59257.48,6665972.0,6907490.68,1.04,2.68,2020.JAN.Monthly.Auction,5565
2/1/2020,SELL,OPT,6468400,111194.1,95519.01,26035722.4,46901928.48,29140.6,46413.86,6674616.8,7772340.71,1.16,1.8,2020.FEB.Monthly.Auction,5606
2/1/2020,BUY,OPT,36288440,2578346.6,123837.43,641073084.8,170313991.54,72043.8,790423.99,16336553.6,11030626.42,0.68,0.27,2020.FEB.Monthly.Auction,5606
2/1/2020,BUY,OBL,14612632,260039.8,-2885690.25,60474451.2,-485234956.16,46764.9,-9368.19,10969884.8,11765760.99,1.07,-8.02,2020.FEB.Monthly.Auction,5606
2/1/2020,SELL,OBL,816056,11807.4,43917.65,2738621.6,9837515.54,2559.8,4331.48,600192.0,682448.16,1.14,3.59,2020.FEB.Monthly.Auction,5606
03/01/2020,BUY,OBL,14432362,229521.0,-2220461.35,58367814.4,-492338812.41,55017.3,145926.98,13846615.3,17659685.24,1.28,-8.44,2020.MAR.Monthly.Auction,5646
03/01/2020,SELL,OPT,6173043,106498.6,105161.74,26607032.5,55222378.96,24994.6,57284.18,6130419.9,7452840.4,1.22,2.08,2020.MAR.Monthly.Auction,5646
03/01/2020,SELL,OBL,761251,11810.3,39664.87,2914842.3,7468234.64,3687.1,1556.61,907615.2,876428.23,0.97,2.56,2020.MAR.Monthly.Auction,5646
03/01/2020,BUY,OPT,40039656,2400972.5,181788.11,641312698.8,187454595.96,79002.0,1105016.8,19340775.9,12098136.99,0.63,0.29,2020.MAR.Monthly.Auction,5646
04/01/2020,BUY,OBL,17127552,233914.0,-4288448.61,57672561.6,-562532460.4,52990.4,70939.05,12993932.8,21455617.02,1.65,-9.75,2020.APR.Monthly.Auction,5686
04/01/2020,SELL,OPT,5845952,106835.6,118413.48,26031502.4,59162875.68,27521.7,71155.26,6588284.8,14425126.95,2.19,2.27,2020.APR.Monthly.Auction,5686
04/01/2020,SELL,OBL,753472,11906.5,41012.63,2843593.6,9257572.58,2453.4,1256.7,581816.0,714075.76,1.23,3.26,2020.APR.Monthly.Auction,5686
04/01/2020,BUY,OPT,35023072,1920721.1,250879.9,455594835.2,192962635.58,80440.8,1057592.32,19086540.8,17344399.83,0.91,0.42,2020.APR.Monthly.Auction,5686
05/01/2020,BUY,OPT,37247152,1879787.6,86813.27,475103444.8,117932975.1,85129.8,481616.69,21265795.2,10773696.21,0.51,0.25,2020.MAY.Monthly.Auction,5727
05/01/2020,BUY,OBL,17178736,236541.5,-3847188.33,59916164.8,-582883831.94,60881.2,59299.7,15234970.4,10136046.36,0.67,-9.73,2020.MAY.Monthly.Auction,5727
05/01/2020,SELL,OBL,716464,9407.7,40485.99,2298384.0,8036634.86,2471.1,2187.89,600571.2,1014826.33,1.69,3.5,2020.MAY.Monthly.Auction,5727
05/01/2020,SELL,OPT,5543736,102461.9,50772.01,25513698.4,35371274.43,25494.9,20014.48,6356308.8,6940546.29,1.09,1.39,2020.MAY.Monthly.Auction,5727
06/01/2020,SELL,OPT,5155392,101304.5,38743.3,24639246.4,28064164.77,26930.2,13544.57,6433377.6,4047849.7,0.63,1.14,2020.JUN.Monthly.Auction,5747
