 Start Date, Class, Hedge Type, Number Of Hours, Bid MW, Bid Price,Bid MWHs,Bid MWHs Bid Price, Awarded Mw, Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Bid Price,Weighted Avg Clear Price,Auction
1/1/2019,BUY,OBL,8390168,195334.5,-4691708.49,49998421.6,-731939833.5,49511.8,31080.4586,12601149.6,7697408.401,0.610849696,-14.6392588,2019_01_JAN
1/1/2019,BUY,OPT,40975920,1839331.7,82888.7,459536362.4,103768680.7,63993.5,402220.276,15616128.8,8204662.854,0.52539672,0.225811686,2019_01_JAN
1/1/2019,SELL,OBL,789576,15730.4,21622.33,3902491.2,12010083.12,2382.5,1547.354185,590745.6,312655.0796,0.529255029,3.077542653,2019_01_JAN
1/1/2019,SELL,OPT,5244200,113535,86422.18,27824504,47042060.08,22311.9,23454.51863,5443776,4733279.64,0.869484644,1.690670212,2019_01_JAN
2/1/2019,BUY,OBL,8409376,196776.8,-4693490.98,45728790.4,-757299730.4,39491.2,41643.83569,9067251.2,3586484.671,0.395542661,-16.56067707,2019_02_FEB
2/1/2019,BUY,OPT,36374176,1979594.2,89922.1,443378988.8,90708220.16,61017.8,425036.486,13663686.4,5904923.957,0.432161847,0.204583939,2019_02_FEB
2/1/2019,SELL,OBL,739072,16779.3,21800.73,3765436.8,10199156.35,4058.1,2639.268129,923385.6,1488668.309,1.612184887,2.708625026,2019_02_FEB
2/1/2019,SELL,OPT,5037280,114426.9,78919.91,25534876.8,35300960.93,21760.8,29450.91127,4790294.4,3764420.157,0.785843174,1.382460593,2019_02_FEB
3/1/2019,BUY,OBL,10155284,199412.4,-4576787.84,50639864.9,-805710745.1,44348.1,51520.4727,11069661.2,4066702.406,0.367373701,-15.91060218,2019_03_MAR
3/1/2019,BUY,OPT,44265502,1904401.8,104892.51,471547437.3,97494819.16,60789.3,483947.9428,15158399,7442882.023,0.491007132,0.206755061,2019_03_MAR
3/1/2019,SELL,OBL,737693,20721.1,21183.8,5085209.9,11506005.98,5188.5,3026.45417,1277574,1552275.611,1.21501816,2.262641308,2019_03_MAR
3/1/2019,SELL,OPT,5483912,110107.3,65249.61,27200467.1,36944269.73,26221.3,26766.50498,6426210.9,5580136.646,0.868340105,1.358221886,2019_03_MAR
4/1/2019,BUY,OBL,12115376,204471.6,-4755491.77,50668467.2,-779997511.2,41194.8,29500.25637,10082662.4,4036826.636,0.400373084,-15.39414066,2019_04_APR
4/1/2019,BUY,OPT,40907152,1956009.5,121356.51,463272076.8,118788651.5,60830.9,643118.4775,14618769.6,8701285.89,0.595213286,0.256412284,2019_04_APR
4/1/2019,SELL,OBL,712816,17793.6,23725.36,4264483.2,14397363.09,3921.4,4765.317293,936824,1987331.323,2.121349712,3.376109698,2019_04_APR
4/1/2019,SELL,OPT,5221680,106365.8,89491.87,25536864,42982454.83,28906.4,36603.52989,6952174.4,5802336.307,0.834607415,1.683153219,2019_04_APR
5/1/2019,BUY,OBL,12933448,209503.3,-3516247.58,53430945.6,-507780468.8,48052.6,20076.32274,12173425.6,5588527.329,0.459075983,-9.503490217,2019_05_MAY
5/1/2019,BUY,OPT,43283976,1924196.7,117360.64,472134400.8,129958545.4,59565.3,618251.611,14761066.4,8861011.451,0.600296158,0.275257522,2019_05_MAY
5/1/2019,SELL,OBL,681872,16828.9,21999.35,4070420,13438487.45,3398,3232.088462,825128,1833035.778,2.221516877,3.301498973,2019_05_MAY
5/1/2019,SELL,OPT,5388920,107922.3,80187.22,26524760.8,40327581.18,21497.9,29143.26151,5225867.2,6559904.606,1.255275795,1.520374924,2019_05_MAY
6/1/2019,BUY,OBL,12600560,218595.8,-5083095.85,53748720,-512098668.3,65198.7,-8272.162569,15740280,10182581.65,0.646912358,-9.527643976,2019_06_JUN
6/1/2019,BUY,OPT,42058000,1960164.5,142292.3,470681848,143132511.1,79424.6,718479.9601,19100048,10718965.66,0.56120098,0.304096093,2019_06_JUN
6/1/2019,SELL,OBL,687120,15975.5,22295.89,3848632,13092983.04,3150.5,2885.13745,763728,1448801.938,1.897012992,3.401983624,2019_06_JUN
6/1/2019,SELL,OPT,4624640,110640.8,56485.35,26389144,38445953.52,23433,27890.21598,5610008,6343359.433,1.130721994,1.456885207,2019_06_JUN
7/1/2019,BUY,OBL,11413344,203991.8,-2087610.34,52227820.8,-477030625.1,50137.4,11499.14145,12626454.4,5096254.349,0.403617214,-9.133649801,2019_07_JUL
